"district_id";"name";"email"
"13";"UNKNOWN";"test@gmail.com"
"14";"Salem";"jay.poindexter@vdot.virginia.gov"
"15";"Richmond";"greg.harris@vdot.virginia.gov"
"16";"Bristol";"joe.yates@vdot.virginia.gov"
"17";"Hampton Roads";"mark.ellis@vdot.virginia.gov"
"18";"Fredericksburg";"kyle.campbell@vdot.virginia.gov"
"19";"Culpeper";"duane.ballenger@vdot.virginia.gov"
"20";"Staunton";"james.mason@vdot.virginia.gov"
"21";"DG Tech";"vdot@dgtech.com"
"22";"Lynchburg";"josh.staton@vdot.virginia.gov"
"23";"Northern Virginia";"roderick.carroll@vdot.virginia.gov"
