"name";"description";"version_id";"status_id";"id"
"Allison DOC";;"1";"1";"1"
"Caterpillar ET";;"1";"1";"2"
"Cummins Insite Pro";;"1";"1";"3"
"Cummins Update Manager";;"1";"1";"4"
"Bendix ACom";;"1";"1";"5"
"Ford FDRS";;"1";"1";"6"
"Ford IDS";;"1";"1";"7"
"GM GDS2";;"1";"1";"8"
"Meritor WABCO Toolbox";;"1";"1";"9"
"Navistar NED";;"1";"1";"10"
"Navistar NavKal";;"1";"1";"11"
"Navistar DLB";;"1";"1";"12"
"Navistar HERO";;"1";"1";"13"
"GM Tech2Win";;"1";"1";"15"
"Isuzu IDSS2";;"1";"1";"16"
"DGDiagnostics";;"1";"1";"17"
"Java version";;"1";"1";"18"
