"servicetag_id";"oemname_id";"version";"lastused";"status_id"
"128";"5";"6.15.3.1";"2022-03-01 16:28:00";"2"
"128";"3";"8.7.30088";"2022-03-25 15:50:00";"2"
"128";"2";"43.0.18.2099";"2022-03-25 16:00:00";"1"
"128";"13";;"2022-03-25 15:55:00";"1"
"128";"7";"125.030.200";"2022-03-29 15:03:00";"1"
"128";"1";"21.4.0.0";"2022-04-04 09:33:00";"1"
"128";"4";"8.3.0.22080";"2022-04-04 08:44:00";"2"
"128";"10";;"2022-04-04 08:43:00";"2"
"128";"18";"8.0.3210.7";"2022-04-28 17:00:00";"2"
"128";"15";"2.3.70";"2022-03-17 14:21:00";"2"
"128";"16";"13.3.0";"2022-02-18 12:07:00";"2"
"128";"17";"4.07";"2022-03-25 15:57:00";"1"
"128";"6";"31.6.5";"2022-03-25 15:56:00";"2"
"128";"8";"22.2.05003";"2022-03-01 16:57:00";"2"
"128";"11";;"2022-03-25 15:55:00";"1"
"128";"12";;"2022-03-25 15:54:00";"1"
"128";"9";"12.12.0";"2022-03-25 15:59:00";"1"
"129";"12";;"2022-03-25 15:55:00";"1"
"129";"8";;"2022-02-08 17:08:00";"2"
"129";"15";"2.3.70";"2022-03-25 16:09:00";"2"
"129";"4";"8.3.0.22080";"2022-04-25 14:28:00";"2"
"129";"17";"4.07";"2022-03-25 15:58:00";"1"
"129";"3";"8.7.30088";"2022-03-25 15:52:00";"2"
"129";"2";"43.0.18.2099";"2022-03-25 16:02:00";"1"
"129";"9";"12.12.0";"2022-03-25 16:00:00";"1"
"129";"5";"6.15.3.1";"2022-03-25 16:01:00";"2"
"129";"11";;"2022-03-25 15:55:00";"1"
"129";"10";;"2022-03-25 15:54:00";"2"
"129";"13";;"2022-03-25 15:55:00";"1"
"129";"1";"21.4.0.0";"2022-03-25 15:59:00";"1"
"129";"7";"125.060.200";"2022-04-28 19:15:00";"1"
"129";"18";"8.0.3210.7";"2022-04-29 12:16:00";"2"
"129";"6";"29.5.4";"2021-10-20 14:18:00";"2"
"130";"1";"14.0.0";"2021-09-10 09:55:00";"2"
"130";"8";"22.1.01400";"2021-09-10 10:07:00";"2"
"130";"18";"1.0.0.10";"2021-09-13 13:40:00";"2"
"130";"16";"6.0.0";"2021-09-10 10:32:00";"2"
"130";"10";;"2021-09-10 10:02:00";"2"
"130";"13";;"2021-09-10 10:04:00";"2"
"130";"12";;"2021-09-10 10:01:00";"2"
"130";"9";"12.10.0";"2021-09-10 10:04:00";"2"
"130";"7";"119.040.200";"2021-09-10 10:21:00";"2"
"130";"17";"4.06";"2021-09-10 10:05:00";"1"
"130";"4";"7.5.0.20111";"2021-09-10 10:02:00";"2"
"130";"3";"8.6.10096";"2021-09-10 10:06:00";"2"
"130";"2";"40.0.22.2030";"2021-09-10 09:56:00";"2"
"130";"5";"6.15.3.1";"2021-09-10 10:00:00";"2"
"132";"4";"8.3.0.22080";"2022-05-02 09:06:00";"2"
"132";"9";"12.12.0";"2022-05-02 09:03:00";"1"
"132";"12";;"2022-05-02 09:15:00";"1"
"132";"13";;"2022-05-02 09:15:00";"1"
"132";"10";;"2022-05-02 09:15:00";"2"
"132";"11";;"2022-05-02 09:15:00";"1"
"132";"8";"22.2.10200";"2022-05-02 08:25:00";"2"
"132";"18";"8.0.3110.11";"2022-05-02 08:19:00";"2"
"132";"15";"2.3.70";"2022-05-02 08:31:00";"2"
"132";"17";"4.07";"2022-05-02 08:02:00";"1"
"132";"1";"21.4.0.0";"2022-05-02 09:03:00";"1"
"132";"5";"6.15.3.1";"2022-05-02 09:03:00";"2"
"132";"2";"43.0.18.2099";"2022-05-02 09:05:00";"1"
"132";"3";"8.8.00096";"2022-05-02 09:09:00";"2"
"132";"7";"125.060.200";"2022-05-02 08:33:00";"1"
"132";"6";"31.6.7";"2022-05-02 08:34:00";"2"
"133";"18";"8.0.3110.11";"2022-04-28 15:07:00";"2"
"133";"6";"30.5.3";"2021-12-14 13:00:00";"2"
"133";"7";"124.030.200";"2021-12-28 10:33:00";"1"
"133";"4";"8.2.0.21315";"2021-12-28 08:24:00";"2"
"133";"11";;"2022-03-18 13:17:00";"1"
"133";"2";"43.0.18.2099";"2021-12-14 13:01:00";"1"
"133";"3";"8.7.30088";"2021-12-14 08:22:00";"2"
"133";"1";"21.2.0.0";"2021-12-14 08:15:00";"1"
"133";"15";"2.3.58";"2021-12-09 09:59:00";"2"
"133";"8";"22.2.05000";"2021-12-09 09:52:00";"2"
"133";"13";;"2022-03-25 13:12:00";"1"
"133";"10";;"2022-03-25 13:15:00";"2"
"134";"4";"8.3.0.22080";"2022-04-11 08:30:00";"2"
"134";"6";"31.6.2";"2022-04-06 07:46:00";"2"
"134";"2";"43.0.18.2099";"2022-03-21 09:10:00";"1"
"134";"1";"21.3.0.0";"2022-03-21 09:07:00";"1"
"134";"10";;"2022-03-01 10:53:00";"2"
"134";"12";;"2022-03-01 10:54:00";"1"
"134";"8";"22.2.05000";"2022-03-21 07:44:00";"2"
"134";"18";"8.0.2910.10";"2022-05-02 14:27:00";"2"
"134";"7";"125.020.200";"2022-05-02 14:27:00";"1"
"134";"11";;"2022-02-08 10:47:00";"1"
"135";"2";"43.0.18.2099";"2022-05-02 11:17:00";"1"
"135";"5";"6.15.3.1";"2022-05-02 10:56:00";"2"
"135";"17";"4.07";"2022-05-02 10:56:00";"1"
"135";"1";"21.4.0.0";"2022-05-02 11:17:00";"1"
"135";"3";"8.8.00096";"2022-05-02 11:31:00";"2"
"135";"4";"8.3.0.22080";"2022-05-02 11:18:00";"2"
"135";"13";;"2022-05-02 11:20:00";"1"
"135";"12";;"2022-05-02 11:20:00";"1"
"135";"9";"12.12.0";"2022-05-02 10:56:00";"1"
"135";"18";"8.0.2610.12";"2022-05-02 10:13:00";"2"
"135";"16";"13.3.0";"2022-05-02 10:55:00";"2"
"135";"10";;"2022-05-02 11:20:00";"2"
"135";"11";;"2022-05-02 11:20:00";"1"
"135";"15";"2.3.70";"2022-05-02 10:50:00";"2"
"135";"8";"22.2.10200";"2022-05-02 10:46:00";"2"
"135";"6";"31.6.7";"2022-05-02 10:51:00";"2"
"135";"7";"125.060.200";"2022-05-02 10:51:00";"1"
"136";"6";"31.6.7";"2022-05-02 13:11:00";"2"
"136";"5";"6.15.3.1";"2022-05-02 13:13:00";"2"
"136";"2";"43.0.18.2099";"2022-05-02 13:15:00";"1"
"136";"3";"8.8.00096";"2022-05-02 13:18:00";"2"
"136";"7";"125.060.200";"2022-05-02 13:11:00";"1"
"136";"17";"4.07";"2022-05-02 13:13:00";"1"
"136";"4";"8.3.0.22080";"2022-05-02 13:15:00";"2"
"136";"10";;"2022-05-02 13:19:00";"2"
"136";"8";"22.2.10200";"2022-05-02 12:55:00";"2"
"136";"13";;"2022-05-02 13:19:00";"1"
"136";"12";;"2022-05-02 13:20:00";"1"
"136";"9";"12.12.0";"2022-05-02 13:13:00";"1"
"136";"18";"8.0.2810.9";"2022-05-02 12:42:00";"2"
"136";"15";"2.3.70";"2022-05-02 12:57:00";"2"
"136";"11";;"2022-05-02 13:22:00";"1"
"136";"1";"21.4.0.0";"2022-05-02 13:15:00";"1"
"137";"7";"125.030.200";"2022-04-08 13:55:00";"1"
"137";"8";"22.2.05003";"2022-03-24 11:37:00";"2"
"137";"15";"2.3.70";"2022-03-24 11:41:00";"2"
"137";"10";;"2022-03-22 13:00:00";"2"
"137";"4";"8.3.0.22080";"2022-04-11 14:47:00";"2"
"137";"6";"31.6.5";"2022-04-11 14:21:00";"2"
"137";"18";"8.0.3210.7";"2022-04-09 00:29:00";"2"
"137";"13";;"2022-03-22 13:01:00";"1"
"137";"12";;"2022-03-11 11:04:00";"1"
"137";"11";;"2022-03-11 10:19:00";"1"
"137";"16";"13.3.0";"2022-03-11 10:28:00";"2"
"137";"2";"43.0.18.2099";"2022-03-11 10:13:00";"1"
"138";"3";"8.7.30088";"2022-04-01 09:45:00";"2"
"138";"2";"43.0.18.2099";"2022-04-01 10:41:00";"1"
"138";"12";;"2022-04-01 10:10:00";"1"
"138";"15";"2.3.58";"2022-03-02 10:41:00";"2"
"138";"5";"6.15.3.1";"2022-04-01 10:41:00";"2"
"138";"1";"21.5.0.0";"2022-04-01 10:40:00";"1"
"138";"18";"8.0.2810.9";"2022-03-31 10:41:00";"2"
"138";"4";"8.2.0.21315";"2022-04-01 09:44:00";"2"
"138";"17";"4.07";"2022-04-01 10:45:00";"1"
"138";"11";;"2022-04-01 10:26:00";"1"
"138";"10";;"2022-04-01 10:24:00";"2"
