"shop_id";"name";"district_id"
"57";"UNKNOWN";"13"
"58";"Bedford Shop";"14"
"59";"Richmond District Shop";"15"
"60";"Jonesville Shop";"16"
"61";"Bristol District Shop";"16"
"62";"Accomac Shop";"17"
"63";"Wytheville Shop";"16"
"64";"Oakwood Shop";"16"
"65";"Abingdon Shop";"16"
"66";"Saluda Shop";"18"
"67";"Fredericksburg District Shop";"18"
"68";"Warrenton Shop";"19"
"69";"Monterey Shop";"20"
"70";"Wise Shop";"16"
"71";"DG Technologies";"21"
"72";"Franklin Shop";"17"
"73";"Sandston Shop";"15"
"74";"Charlottesville Shop";"19"
"75";"Northern Neck Shop";"18"
"76";"Christiansburg Shop";"14"
"77";"Peninsula Shop";"17"
"78";"Culpeper District Shop";"19"
"79";"Norfolk Shop";"17"
"80";"Hampton Roads District Shop";"17"
"81";"Halifax Shop";"22"
"82";"Northern Virginia District Shop";"23"
"83";"Lynchburg District Shop";"22"
"84";"Chatham Shop";"22"
"85";"Farmville Shop";"22"
"86";"Fairfax Shop Camp 30";"23"
"87";"Harrisonburg Shop";"20"
"88";"VanDorn Shop";"23"
"89";"Leesburg Shop";"23"
"90";"Claypool Hill Shop";"16"
"91";"Amelia Shop";"15"
"92";"South Hill Shop";"15"
"93";"Ashland Shop";"15"
"94";"Hillsville Shop";"14"
"95";"Martinsville Shop";"14"
"96";"Martinsville Shop (Fairystone)";"14"
"97";"Christiansburg Shop (Pearisburg)";"14"
"98";"Bedford Shop (Troutville)";"14"
"99";"Salem District Shop";"14"
"100";"Christiansburg Shop (Dublin)";"14"
"101";"Martinsville Shop (Rocky Mount)";"14"
"102";"Staunton District Shop";"20"
"103";"Winchester Shop";"20"
"104";"Triangle Shop";"20"
